,Error,pc,effective_address
1M-loads.csv,0.002069239527822284,0.055093442620887875,0.08033442859361767
compute_fp_1-loads.csv,0.000244426150483732,1298.6315801812825,1298.280711471945
compute_fp_4-loads.csv,0.00024220500400874681,5705.917961629962,5705.70159042264
compute_fp_9-loads.csv,0.0003122524960860347,4.411415809301821,3.969750832434823
compute_fp_10-loads.csv,0.00011449014550579414,9032.79287782599,9032.627723093605
compute_int_0-loads.csv,6.599086357384126e-05,4.9506413701642,4.560290433899308
compute_int_4-loads.csv,0.000317768087268895,1.252954196634432,0.8624902902331782
compute_int_7-loads.csv,0.00046132244133620967,30110901.35302471,30110901.75
compute_int_11-loads.csv,9.337972057390193e-05,0.17047122444444593,0.3086413296165899
compute_int_15-loads.csv,3145516.0107670166,129614697856.58298,1256.9593532792146
srv_10-loads.csv,0.0002450187724659634,0.11430443287351069,0.002195344115408305
